No,Category,Issue,Keywords,Platform,Description,Do,Don't,Code Example Good,Code Example Bad,Severity
1,Saved views,"A view is a saved question, not a filter you re-type","saved view,segment,list,filter preset,default view",Web,Attio-class tools are used by returning to the SAME slice daily. A view names a filter+sort+columns+density combination and is addressable by URL.,"Persist filter, sort, visible columns, column order and density in the view. Give it a URL. Distinguish MY views from SHARED views, and say which one is the default.",Ship a filter bar with no way to keep the result. Store view state only in component state so a reload loses it.,"/views/:id -> {filters, sort, columns, density}; URL is the source of truth",useState({filters}) // lost on reload,HIGH
2,Saved views,A shared view changed by one person changes it for everyone,"shared view,collaboration,ownership",Web,Editing a shared view is a write other people see. Silent mutation of a colleague's daily slice is the complaint.,Editing a shared view offers 'save' vs 'save as new view'. Show the owner. Unsaved deviations show as a dirty state you can reset.,Auto-save every filter change to the shared view.,isDirty && <Bar>Modified - [Reset] [Save] [Save as new]</Bar>,"onFilterChange(v => api.patch(view.id, v))",HIGH
3,Inline editing,"Commit semantics must be stated, not guessed","inline edit,cell edit,editable table,commit",Web,The single most common dense-table defect: the user cannot tell whether their edit is saved.,"Enter commits, Escape reverts, blur commits. Show a per-cell saving/saved/failed state. A failed write reverts the cell AND says why.",Save on every keystroke; leave a failed write looking saved; use a modal for a one-field change.,"onKeyDown: Enter->commit, Escape->revert; cell shows state",onChange={e => save(e.target.value)} // per keystroke,CRITICAL
4,Inline editing,Optimistic update needs a visible rollback,"optimistic,rollback,conflict,stale write",Web,Optimism is right for latency and wrong when it hides a failure.,"Apply locally, mark the row pending, reconcile with the server response. On conflict show BOTH values and let the human pick.",Apply locally and never reconcile. Silently keep the local value after a 409.,onError: revert + toast naming the field and the reason,catch {} // best-effort,CRITICAL
5,Virtualization,"Virtualize the rows, not the semantics","virtualization,windowing,large table,10k rows",Web,"Windowing breaks Ctrl+F, tab order, screen readers and scroll restoration unless handled.","Fixed or measured row height, aria-rowcount/aria-rowindex on the real indices, keyboard navigation that scrolls the focused row into view, restore scroll on back.",Virtualize and leave aria-rowindex as the window index. Rely on browser find-in-page.,<div role='row' aria-rowindex={absoluteIndex}>,<div role='row'> // window index only,HIGH
6,Bulk actions,Select-all must say what it selected,"bulk,select all,multi-select,batch",Web,"'Select all' on a filtered, paginated set is ambiguous: this page, or all 4,312 matches?","Selecting the header checkbox selects the PAGE and offers 'Select all 4,312 matching'. The action bar states the exact count and the filter it came from.",Let 'select all' mean the page while the action reads 'Delete all'.,"Selected 50 on this page - [Select all 4,312 matching]",<Checkbox onChange={selectAll}/> // which all?,CRITICAL
7,Bulk actions,"A destructive bulk action needs undo, not a confirm dialog","undo,bulk delete,destructive,confirmation",Web,A confirm dialog is dismissed by muscle memory; undo is the control that actually works.,"Apply immediately, show a 10s undo with the count. Reserve a typed confirmation for irreversible operations only.","Ask 'Are you sure?' for everything, then make it unrecoverable.",Archived 312 records - [Undo] (10s),confirm('Delete 312 records?'),HIGH
8,Keyboard,"Keyboard is the primary input, not an accessibility afterthought","keyboard,shortcuts,command palette,power user",Web,The whole class is used all day by the same people. Reaching for a mouse per row is the cost being removed.,"j/k or arrows move the row, Enter opens, Space selects, Cmd+K is the palette, / focuses search. Show the shortcut in the tooltip and menu item.",Ship shortcuts nobody can discover; bind keys that collide with the browser or a screen reader.,<MenuItem>Archive <kbd>E</kbd></MenuItem>,onKeyDown={e => e.key==='e' && archive()} // undiscoverable,HIGH
9,Keyboard,"The command palette is a map of the product, not a search box","command palette,cmd+k,quick actions",Web,It is how a returning user navigates and how a new one learns what exists.,"Actions, records and views in one ranked list, grouped and labelled. Recents first on empty. Every action reachable by keyboard is listed here.",Only search records; hide destructive actions; rank by string match alone.,Groups: Actions | Views | Records; recents on empty query,<input placeholder='Search...'/>,MEDIUM
10,Relations,A relation is bidirectional even when the UI is not,"relation,linked record,backlink,association",Web,Linking a person to a company creates a fact both records own.,Show the backlink on the other record. Deleting one side explains what happens to the other. Hovering a relation previews the record without navigating.,Store the link on one side and leave the other blind to it.,Company > People (12) <- derived from the same edge,person.companyId // company has no view of it,HIGH
11,Density,"Density is a setting, and it is not just row height","density,compact,comfortable,spacing",Web,"Users of dense tools have strong, opposed preferences and a real screen-size spread.","Two or three named steps that change row height, font size and cell padding together, persisted per user and reflected in the saved view.",One hardcoded row height. A density toggle that changes only padding so type wraps at compact.,"density: 'compact'|'default' -> {rowH, fontSize, padX}",height: 44px // fixed,MEDIUM
12,Columns,Column layout is user state and must survive a reload,"column resize,reorder,pin,hide",Web,"Rearranging columns is a per-user, per-view preference, not a session accident.","Resize, reorder, pin left, hide - persisted into the view. Pinned columns stay during horizontal scroll and keep their focus order.",Reset column widths on every mount; let a pinned column overlap the scrolled content.,"view.columns = [{key, width, pinned, hidden}]",<th style={{width:180}}> // fixed forever,MEDIUM
13,Filtering,A filter must be readable as a sentence,"filter,query builder,and or,facets",Web,Compound filters become unreadable exactly when they become useful.,Render as removable chips that read as a sentence. Make AND/OR explicit at each group. Show the resulting count before it is applied where it is cheap to compute.,Nest groups with no visual indication of precedence; leave the user to guess whether it is AND or OR.,[Stage is Won x] and [Owner is me x] - 41 results,status=won&owner=me // precedence invisible,HIGH
14,Table state,"Empty, loading, error and filtered-empty are four states","empty state,skeleton,error,no results",Web,'No results' where the fetch failed is this whole product class's version of a lie.,"Distinguish: nothing exists yet (offer to create), the filter matched nothing (offer to clear), loading (skeleton at the real row height), the fetch failed (say so and offer retry).",Render an empty table body for all four.,if (error) return <Failed onRetry/>; if (!rows.length && hasFilter) return <NoMatch onClear/>,{rows.map(...)} // silence on failure,CRITICAL
15,Table state,"Selection must survive a filter change, or be visibly dropped","selection,filter,state loss",Web,"Selecting 40 rows, refining the filter, and losing the selection without a word is a silent data-losing interaction.","Keep the selection and show 'Selected 40 (12 hidden by the current filter)', or drop it and say that you did.",Silently clear the selection on any filter change.,Selected 40 - 12 not shown by this filter,"useEffect(() => setSelected([]), [filters])",HIGH
16,Records,"A record needs an activity trail, not just current values","activity,audit,history,timeline",Web,In a CRM the question is usually 'what changed and who changed it'.,"Field-level history with actor and timestamp, merged with comments and system events into one reverse-chronological trail.",Show only current values; log changes somewhere the user cannot reach.,Alex changed Stage: Lead -> Qualified - 2h ago,record.stage = 'Qualified' // no trace,HIGH
17,Records,Field-level permission is not the same as record-level,"permissions,field level,rbac,visibility",Web,"Revenue visible to the account owner, hidden from a contractor, on the same record.","Resolve permission per field. A hidden field is absent, not blank. A read-only field looks read-only rather than failing on save.",Render the field and reject the write; show an empty cell where the user simply lacks access.,canRead(field) ? <Cell/> : null; canWrite ? <Editable/> : <ReadOnly/>,<Editable/> + 403 on save,CRITICAL
